0.2056,0.24254,0.23751,0.11169,0.6309,0.79926,0.86356,0.055012,-2.04,0.22174,3
0.20594,-0.13078,0.28488,0.15589,0.70883,-0.67377,0.77038,-0.22363,2.18,0.52204,-0.5
0.20786,-0.22915,0.28513,0.11165,0.70911,-0.61114,0.84193,0.17057,-1.88,0.14388,5
0.20824,-0.18602,0.12646,0.28262,0.73727,-0.39975,0.77038,0.25887,2.1,-0.55867,18
0.20862,0.24937,0.21322,0.27963,0.63896,0.43543,0.84526,-0.32836,-1.1,-0.41322,-14
0.20939,0.19661,0.093187,0.25853,0.7476,0.63294,0.7787,-0.069013,1.9,0.16045,-4.5
0.21065,0.073951,0.28432,0.26981,0.81431,0.7547,0.76373,0.46882,1.98,-0.37026,2.5
0.21131,0.088777,0.29355,0.28523,0.93313,0.77461,0.81864,0.38258,-1.16,0.047255,1
0.21277,0.090259,0.18011,0.29586,1.2065,0.66095,0.81364,0.14915,-1.52,0.28432,0.5
0.21389,0.2467,0.20585,0.15148,0.7061,0.79875,0.88852,-0.015655,-2.08,-0.086106,6
0.21418,0.17767,0.23456,0.23037,0.60212,0.72177,0.85025,0.2223,-1.92,0.12005,3
0.21556,0.21769,0.097359,0.28423,0.73927,0.64241,0.86023,-0.10415,2.18,0.2606,-6.5
0.21689,0.25942,0.26332,0.24898,0.89408,0.61223,0.78369,-0.45715,-1.86,-0.72361,-13
0.21848,0.21549,0.20048,0.15688,0.60342,0.74144,0.80699,0.1463,-2.08,0.52404,1.5
0.21876,-0.1895,0.27245,0.22683,0.69501,-0.75204,0.90349,-0.15001,2.68,0.21599,-9
0.2195,-0.39262,0.2277,0.11344,0.62855,-0.77814,0.77205,0.34618,1.34,-0.52029,5.5
0.21973,0.11762,0.17074,0.29892,0.75238,0.52131,0.85191,0.11857,3.5,-0.57533,14
0.22018,-0.10671,0.24546,0.24026,0.66817,-0.17785,0.82196,0.14597,-1.86,0.088563,3.5
0.22075,-0.31086,0.29474,0.17167,0.73989,-0.61355,0.76539,0.42835,1.66,-0.52118,8
